GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,challenge.tech.dto.presenter,LoginResponse,3,9,0,0,1,2,1,2,1,2
auth-service,challenge.tech.dto.presenter,RegisterUserPresenter,0,24,0,0,0,8,0,4,0,4
auth-service,challenge.tech.gateway.database.jpa.entity,UserAuthEntity,49,51,2,0,10,17,14,3,13,3
auth-service,challenge.tech.controller,AuthController,0,39,0,0,0,5,0,3,0,3
auth-service,challenge.tech.usecase,LoginUseCase,0,61,0,2,0,13,0,4,0,3
auth-service,challenge.tech.usecase,RegisterUseCase,0,94,0,2,0,23,0,5,0,4
auth-service,challenge.tech.dto.parameter,CreateUserParameter,18,18,0,0,6,1,6,1,6,1
auth-service,challenge.tech.dto.parameter,LoginParameter,0,18,0,0,0,4,0,4,0,4
auth-service,challenge.tech.dto.parameter,RegisterUserParameter,6,48,0,0,2,12,2,5,2,5
auth-service,challenge.tech.domain,UserAuth.UserAuthBuilder,22,70,0,0,0,1,1,11,1,11
auth-service,challenge.tech.domain,UserAuth,16,92,0,0,0,13,4,17,4,17
auth-service,challenge.tech.gateway.database.jpa,UserAuthJpaGateway,0,47,0,0,0,10,0,5,0,5
auth-service,challenge.tech,AuthServiceApplication,0,8,0,0,0,3,0,2,0,2
auth-service,challenge.tech.enums,UserRole,0,49,0,0,0,10,0,3,0,3
