GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
product-service,challenge.tech.usecase,UpdateUseCase,0,23,0,2,0,6,0,3,0,2
product-service,challenge.tech.usecase,DeleteUseCase,0,11,0,0,0,5,0,2,0,2
product-service,challenge.tech.usecase,CreateUseCase,0,19,0,2,0,4,0,3,0,2
product-service,challenge.tech.usecase,FindAllUseCase,0,11,0,0,0,4,0,2,0,2
product-service,challenge.tech.usecase,FindBySkuUseCase,0,11,0,0,0,2,0,2,0,2
product-service,challenge.tech.usecase,FindByIdUseCase,0,11,0,0,0,2,0,2,0,2
product-service,challenge.tech.controller,ProductController,0,88,0,0,0,13,0,7,0,7
product-service,challenge.tech.gateway.database.jpa.entity,ProductEntity,0,94,0,2,0,24,0,15,0,14
product-service,challenge.tech.gateway.database,ProductJpaGateway,0,53,0,0,0,14,0,7,0,7
product-service,challenge.tech.exceptions,GlobalExceptionHandler,90,0,0,0,17,0,6,0,6,0
product-service,challenge.tech.dto.paremeter,UpdateProductParameter,0,54,0,0,0,11,0,9,0,9
product-service,challenge.tech.dto.paremeter,CreateProductParameter,0,39,0,0,0,9,0,5,0,5
product-service,challenge.tech.domain,Product,1,62,4,4,0,15,4,12,0,12
product-service,challenge.tech,ProductServiceApplication,8,0,0,0,3,0,2,0,2,0
product-service,challenge.tech.exceptions.product,ProductNotFoundException,0,4,0,0,0,2,0,1,0,1
product-service,challenge.tech.exceptions.product,ProductExceptionHandler,3,10,0,0,1,2,1,2,1,2
product-service,challenge.tech.exceptions.product,ProductAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
