GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-service,challenge.tech.gateway.database.jpa.entity,AddressEntity,0,158,0,4,0,35,0,24,0,22
user-service,challenge.tech.gateway.database.jpa.entity,UserEntity,0,155,0,6,0,35,0,23,0,20
user-service,challenge.tech.controller,AddressController,0,30,0,0,0,5,0,3,0,3
user-service,challenge.tech.controller,UserController,0,73,0,0,0,11,0,6,0,6
user-service,challenge.tech.gateway.database,AddressJpaGateway,0,34,0,0,0,7,0,4,0,4
user-service,challenge.tech.gateway.database,UserJpaGateway,0,54,0,0,0,14,0,7,0,7
user-service,challenge.tech.usecase.address,CreateAddressUseCase,0,26,0,0,0,5,0,3,0,3
user-service,challenge.tech.usecase.address,DeleteAddressUseCase,0,45,0,2,0,10,0,5,0,4
user-service,challenge.tech.dto.paremeter,AddressParameter,0,75,0,0,0,16,0,14,0,14
user-service,challenge.tech.dto.paremeter,CreateUserParameter,0,62,0,0,0,14,0,8,0,8
user-service,challenge.tech.usecase.user,CreateUserUseCase,0,31,0,4,0,7,0,4,0,2
user-service,challenge.tech.usecase.user,FindAllUsersUseCase,0,11,0,0,0,4,0,2,0,2
user-service,challenge.tech.usecase.user,DeleteUserUseCase,0,11,0,0,0,5,0,2,0,2
user-service,challenge.tech.usecase.user,UpdateUserUseCase,0,19,0,0,0,4,0,2,0,2
user-service,challenge.tech.usecase.user,FindUserByIdUseCase,0,11,0,0,0,2,0,2,0,2
user-service,challenge.tech.domain,Address,0,66,0,0,0,11,0,19,0,19
user-service,challenge.tech.domain,User,0,77,0,6,0,16,0,21,0,18
user-service,challenge.tech,UserServiceApplication,8,0,0,0,3,0,2,0,2,0
